"V1"	"V4"
"383"	"MIMAT0000220_st"	"mmu-miR-190a-5p"
"384"	"MIMAT0016998_st"	"mmu-miR-190a-3p"
"385"	"MIMAT0000221_st"	"mmu-miR-191-5p"
"386"	"MIMAT0004542_st"	"mmu-miR-191-3p"
"387"	"MIMAT0000222_st"	"hsa-miR-192-5p"
"388"	"MIMAT0004543_st"	"hsa-miR-192-3p"
"389"	"MIMAT0004544_st"	"mmu-miR-193a-5p"
"390"	"MIMAT0000223_st"	"mmu-miR-193a-3p"
"391"	"MIMAT0000224_st"	"mmu-miR-194-5p"
"392"	"MIMAT0016999_st"	"mmu-miR-194-1-3p"
"393"	"MIMAT0000225_st"	"mmu-miR-195a-5p"
"394"	"MIMAT0017000_st"	"mmu-miR-195a-3p"
"395"	"MIMAT0000226_st"	"hsa-miR-196a-5p"
"396"	"MIMAT0022691_st"	"hsa-miR-197-5p"
"397"	"MIMAT0000227_st"	"hsa-miR-197-3p"
"398"	"MIMAT0000228_st"	"hsa-miR-198"
"399"	"MIMAT0000229_st"	"mmu-miR-199a-5p"
"400"	"MIMAT0000230_st"	"mmu-miR-199a-3p"
"401"	"MIMAT0000231_st"	"hsa-miR-199a-5p"
"402"	"MIMAT0000232_st"	"hsa-miR-199a-3p"
"403"	"MIMAT0004545_st"	"mmu-miR-200b-5p"
"404"	"MIMAT0000233_st"	"mmu-miR-200b-3p"
"405"	"MIMAT0000234_st"	"mmu-miR-201-5p"
"406"	"MIMAT0017001_st"	"mmu-miR-201-3p"
"407"	"MIMAT0004546_st"	"mmu-miR-202-5p"
"408"	"MIMAT0000235_st"	"mmu-miR-202-3p"
"409"	"MIMAT0004547_st"	"mmu-miR-203-5p"
"410"	"MIMAT0000236_st"	"mmu-miR-203-3p"
"411"	"MIMAT0000237_st"	"mmu-miR-204-5p"
"412"	"MIMAT0017002_st"	"mmu-miR-204-3p"
"413"	"MIMAT0000238_st"	"mmu-miR-205-5p"
"414"	"MIMAT0017003_st"	"mmu-miR-205-3p"
"415"	"MIMAT0017004_st"	"mmu-miR-206-5p"
"416"	"MIMAT0000239_st"	"mmu-miR-206-3p"
"417"	"MIMAT0000240_st"	"mmu-miR-207"
"418"	"MIMAT0026474_st"	"hsa-miR-208a-5p"
"419"	"MIMAT0000241_st"	"hsa-miR-208a-3p"
"420"	"MIMAT0000242_st"	"hsa-miR-129-5p"
"421"	"MIMAT0004548_st"	"hsa-miR-129-1-3p"
"422"	"MIMAT0004549_st"	"hsa-miR-148a-5p"
"423"	"MIMAT0000243_st"	"hsa-miR-148a-3p"
"424"	"MIMAT0000244_st"	"hsa-miR-30c-5p"
"425"	"MIMAT0004550_st"	"hsa-miR-30c-2-3p"
"426"	"MIMAT0000245_st"	"hsa-miR-30d-5p"
"427"	"MIMAT0004551_st"	"hsa-miR-30d-3p"
"428"	"MIMAT0000246_st"	"mmu-miR-122-5p"
"429"	"MIMAT0017005_st"	"mmu-miR-122-3p"
"430"	"MIMAT0017006_st"	"mmu-miR-143-5p"
"431"	"MIMAT0000247_st"	"mmu-miR-143-3p"
"432"	"MIMAT0000248_st"	"mmu-miR-30e-5p"
"433"	"MIMAT0000249_st"	"mmu-miR-30e-3p"
"434"	"MIMAT0000250_st"	"hsa-miR-139-5p"
"435"	"MIMAT0004552_st"	"hsa-miR-139-3p"
"436"	"MIMAT0000251_st"	"hsa-miR-147a"
"437"	"MIMAT0000252_st"	"hsa-miR-7-5p"
"438"	"MIMAT0004553_st"	"hsa-miR-7-1-3p"
"439"	"MIMAT0004554_st"	"hsa-miR-7-2-3p"
"440"	"MIMAT0000253_st"	"hsa-miR-10a-5p"
"441"	"MIMAT0004555_st"	"hsa-miR-10a-3p"
"442"	"MIMAT0000254_st"	"hsa-miR-10b-5p"
"443"	"MIMAT0004556_st"	"hsa-miR-10b-3p"
"444"	"MIMAT0000255_st"	"hsa-miR-34a-5p"
"445"	"MIMAT0004557_st"	"hsa-miR-34a-3p"
"446"	"MIMAT0000256_st"	"hsa-miR-181a-5p"
"447"	"MIMAT0004558_st"	"hsa-miR-181a-2-3p"
"448"	"MIMAT0000257_st"	"hsa-miR-181b-5p"
"449"	"MIMAT0022692_st"	"hsa-miR-181b-3p"
"450"	"MIMAT0000258_st"	"hsa-miR-181c-5p"
"451"	"MIMAT0004559_st"	"hsa-miR-181c-3p"
"452"	"MIMAT0000259_st"	"hsa-miR-182-5p"
"453"	"MIMAT0000260_st"	"hsa-miR-182-3p"
"454"	"MIMAT0000261_st"	"hsa-miR-183-5p"
"455"	"MIMAT0004560_st"	"hsa-miR-183-3p"
