,bladder,lymph_node,muscle,salivary_gland,spleen,testis,adipocyte,artery,bone,esophagus,skin,stomach,kidney,liver,nerve,lung,heart,bowel,brain,pancreas,pleurae,thyroid,vein
hsa-miR-455-5p,24.75322852,24.54288676,26.03719577,24.55998213,24.56925246,20.6744252,22.98112523,38.74731832,10.89416823,23.6068719,62.93855238,27.32424095,56.47956785,115.7378476,34.27261441,34.42780099,32.99251495,33.90598196,28.37228647,55.31280213,20.88702455,55.85931493,30.29942866
hsa-miR-483-3p,2.678615258,6.147779952,8.890879,0.866104711,0.703061991,4.763315091,5.089777137,1.43922379,3.820941436,3.105317104,0.947369294,1.9661427,2.029103374,46.61950334,4.47386997,3.253127517,9.874495479,3.047863733,2.57841789,1.808141595,9.165292401,2.26647726,13.38026677
hsa-miR-483-5p,45.29304362,109.1162292,66.30746,9.66280655,20.68110567,98.29200227,73.493844,49.66985079,63.62676798,43.79888911,18.47474627,25.92157213,55.01702099,495.5087619,67.85956823,58.34442883,106.5747074,60.08945023,74.05438705,23.34807548,75.06681684,47.74569263,118.8795037
hsa-miR-556-3p,0.498618575,1.622445247,0.329957552,6.188800901,0.819652116,0.286483832,0.79451943,0.43659854,2.274120085,0.576552675,0.741366092,1.810854491,1.52773524,9.628699466,1.464563579,0.672986169,1.426801058,2.057769533,1.455866762,1.59740455,0.918731426,0.974721224,3.046304396
hsa-miR-556-5p,0.359766809,0.774491332,0.190885951,6.532818178,0.445761585,0.253802986,0.470938268,0.29249737,1.530138741,0.484223692,0.637316523,1.296265874,0.777091583,9.266706841,1.567459685,0.646323776,0.913035606,1.202866541,1.220932628,0.971099934,0.637317783,0.597058221,1.214178878
hsa-miR-7110-3p,0.015442297,0.009988785,0,0.056393739,0.026696576,0.035597986,0.102106333,0.009093396,0.056248688,0.017778611,0.03795155,0.055494763,0.038546791,0.309745669,0.060088688,0.065774551,0.053855583,0.044969069,0.047521823,0,0.150106113,0.05434044,0.118803728
hsa-miR-885-3p,0.214012835,0.150849061,5.756293043,60.41758447,7.203553718,0.644031643,0.355384992,0.604609605,1.97798259,1.845717808,1.777999618,1.680544943,0.932873563,91.88008858,2.37267385,1.087868339,0.58823578,0.541576294,30.74391204,1.675565386,1.065825284,0.913245281,5.676642432
hsa-miR-885-5p,1.095837512,1.405061666,39.24876617,115.7289383,16.50480029,1.282131381,2.052225029,5.486916001,11.85340206,7.62200377,4.940954548,13.38445834,3.178244009,251.4288444,7.205021691,3.434510096,2.466555397,2.34832763,62.38193538,5.679040169,8.573195244,6.921665376,68.56615468
hsa-miR-338-3p,459.2016522,297.323262,130.4856962,344.7107054,568.6714511,157.0023655,179.7666274,128.259672,242.209245,444.8322269,425.343441,855.2037842,106.647929,142.0884317,8150.14813,589.0082328,224.0343517,558.2928465,6306.703559,1063.3094,212.6468385,275.8641134,169.1450268
hsa-miR-338-5p,43.9384762,25.16412958,9.409741018,41.35263419,98.17907007,24.17842358,18.02904993,15.36056171,21.71222745,56.47871533,50.49070772,120.2480956,13.36850178,16.56113663,1125.307812,85.13610452,18.20556304,69.58750034,764.329985,94.0613549,28.51956332,22.98865856,17.70459201
