Mixture	bladder	lymph_node	muscle	salivary_gland	spleen	testis	adipocyte	artery	bone	esophagus	skin	stomach	kidney	liver	nerve	lung	heart	bowel	brain	pancreas	pleurae	thyroid	vein	P-value	Correlation	RMSE
GSM1936845	0	0.280371158485095	0.00521471449713867	0.0205093860617541	0	0.00474530451294335	0.238075877403342	0	0.0592455885255392	0	0.00231981285635999	0.0184128300945718	0	0.0363333322937617	0.0806557546662929	0.230559702523977	0.000475654499334984	0.0102717942885147	0.0128090892913741	0	0	0	0	9999	0.0660864656132943	1.02774187916791
GSM1936846	0.0354262253957083	0.223701107170684	0	0.000228205618722938	0	0.00582571393797164	0.216430895994687	0	0.0908522604395413	0.0104751520043246	0	0.00471295675941374	0	0.0539014906371828	0.0313308172510771	0.312636340144663	0	0	0.0144788346460242	0	0	0	0	9999	0.04255885323931	1.05237772625147
GSM1936847	0.0216271111793185	0.0255312967644277	0	0	0	0.00653380175369357	0.249085884712458	0	0.0167709058760977	0	0.00532892838420799	0.0424326835015266	0	0.0220165294942792	0.117692632489281	0.470382693608447	0.0110729954347374	0.0115245368015253	0	0	0	0	0	9999	0.0274318647081395	1.09147833171353
GSM1936848	0.00410729940115732	0.0924672417481963	0.00156443089559179	0.0626360069168799	0	0.00117325678438827	0.219397961741997	0	0.128287463909682	0	0.00830667199116883	0.0327689887361581	0	0.0398131105890783	0.114638646026125	0.289827961851924	0	0	0.0050109594076529	0	0	0	0	9999	0.0624541377626214	1.03547009952676
GSM1936849	0.0090957055612207	0.0369812036637626	0.00412427067778561	0.0918375688756753	0	0.0115475376212173	0.256565174896831	0	0.0836141126774008	0	0.00316461790257116	0.0106090529238719	0	0.0254486567996502	0.114150661976759	0.26538690551297	0.00602512420695067	0.0734036818214783	0.00804572488185666	0	0	0	0	9999	0.0341760588626776	1.06138423769066
GSM1936850	0	0.178174645253175	0.00740262446279843	0.0631707709546389	0	0.00779619550478923	0.218363485578164	0	0.0471613402938758	0	0.00578893980231513	0.0475046349573883	0	0.008471991183206	0.102805945372172	0.234138816992246	0	0.0695878416887824	0.00963276795644862	0	0	0	0	9999	0.038484973168308	1.07192694948274
GSM1936851	0	0.0399629583684705	0.0100041222716378	0	0	0.00528181058552809	0.4428399525275	0	0.0426270125318897	0.267005573440695	0	0	0	0	0.0943313995445326	0	0	0	0	0.0216860159064048	0	0.00715534221759331	0.0691058126057483	9999	-0.00140326919427419	1.15988400369549
GSM1936852	0.010932322752863	0.0339739425702318	0.0182091193705988	0	0	0	0.147682325269836	0	0.0178640769134826	0.0351990872328761	0.0014632210601498	0	0	0.641650209645958	0.0172825834563473	0	0	0.041154091302519	0	0.0200984340843579	0	0.01449058634078	0	9999	0.752518532927035	0.671004602154401
GSM1936853	0	0.0491586386387213	0.0260636793167571	0.134125332922676	0	0.00136015166917692	0.431559463265186	0	0.026864367359587	0.0429495492979108	0	0.0899615383702236	0	0.165740177581738	0	0	0	0	0.0267862173837638	0	0	0	0.00543088419425901	9999	0.043360672203914	1.05724083101798
GSM1936854	0.0216061599675505	0.12864660108594	0.0137340051520381	0.0613924203623887	0	0.00169803990584681	0.235686964401254	0	0.0480570009049165	0	0.0031014268223918	0.111785894982679	0	0.0952611238941305	0.070028144830102	0.197849494114355	0	0	0.011152723576407	0	0	0	0	9999	0.0165997997919296	1.10069467658186
GSM1936855	0	0	0.030581229776348	0.183597837220388	0	0	0.494062046741592	0	0.011977873691624	0.0155039415652505	0	0.0919612580859301	0	0.105434196843254	0	0	0	0	0.0256983669064163	0	0	0	0.0411832491691966	9999	0.00718402153892542	1.06366305674317
GSM1936856	0	0.482092427560139	0.00511990832718308	0	0	0.00115262197172255	0.206036143618284	0.00212546665848444	0	0.16725958210045	0	0	0.00742117696104683	9.81276179819037e-05	0.0163092805790579	0.0484781653443818	0	0	0.00770916003682456	0.0368534775208333	0	0	0.0193444617036104	9999	-0.00310171624273961	1.09741372826486
GSM1936857	0	0.259413315930421	0.0119616201097766	0.0232247561317394	0	0.00205178768964359	0.348006247424493	0	0.0486268397407781	0.179658686845028	0	0.05588427394266	0	0.0548950085885462	0.00845473306216499	0	0	0	0.007822730534749	0	0	0	0	9999	-0.00173553686764061	1.12255944275815
GSM1936858	0	0.345332675528095	0.00634634414196964	0	0	0.00279438680414243	0.263392681438002	0	0.0177817047777932	0.119848597597763	0	0.0491455448525542	0	0.0704643641737098	0.0339444504038796	0.0768077176706541	0	0	0.0141415326114375	0	0	0	0	9999	0.00211293291593983	1.09784711446177
GSM1936859	0.0269458469428172	0.254686867794943	0.0204964398885994	0.0898495212411595	0	0.00234372864291276	0.259334454391557	0	0.0169472726554066	0	0	0.102534850110857	0	0.133331900465506	0.000768485126015627	0.068905853150593	0	0	0.0238547795896336	0	0	0	0	9999	0.0407673174515308	1.07421896067584
GSM1936860	0.000395302965966215	0.267134510605379	0.000471617674913736	0	0	0.00351292900253591	0.218630600596918	0	0.0223993490467817	0.0594497121615048	0	0.0318058331996104	0	0.0544619694947023	0.00954937118200671	0.317208398912586	0	0	0.0149804051570961	0	0	0	0	9999	-0.00032959176774606	1.07630901904275
GSM1936861	0.0286012759245564	0.24698541464193	0.00327348261020403	0.0365805208234122	0	0.00387856249823368	0.190752544266784	0	0.0503405399228864	0.0110163663689426	0	0.0381021694037614	0	0.0771545413124817	0.0584991209107826	0.236694175270526	0	0	0.0181212860454984	0	0	0	0	9999	0.0154215249348531	1.07240958025081
GSM1936862	0.0281953545583617	0.212565434049193	0.0182162694305514	0.0568836396896716	0	0.00132999706245308	0.313517687908697	0	0.0201324298090501	0.00932542232042194	0	0.0948757255730039	0	0.107855544616852	0.0280607263405595	0.0941243438314702	0	0	0.0149174248097147	0	0	0	0	9999	0.0222538001312531	1.08779205047715
GSM1936863	0.00857351908546518	0.292664537189264	0.0148936889723721	0.063094422704352	0	0.00604126623655428	0.295997435210007	0	0.0463325991881802	0.0280302815211338	0	0.090501151651987	0	0.11395868850567	0.00139552276605222	0.0220618978404979	0	0	0.0164549891284642	0	0	0	0	9999	0.0364647903421483	1.06283779055715
GSM1936864	0	0.0771231051449672	0.0408909736880204	0.124315300559772	0	0.00406072254602629	0.235223768272801	0.0544003397404828	0.0137730146623422	0.0218773844983587	0	0	0	0.383174731530112	0.0109227125298453	0.00256242940371648	0	0	0.0206939028594938	0	0.0109816145640612	0	0	9999	0.319013678580156	0.9527076747339
GSM1936865	0.0187125791590572	0.26235328683287	0.0196971092308258	0.0639095923863893	0	5.73180239305072e-05	0.232301073883767	0	0.00799980259930242	0.0199382987378624	0	0.0218494891033074	0	0.301622392579884	0.0298055819648949	0	0	0	0.0198409758696618	0	0	0.00191249962824698	0	9999	0.233265998408624	0.982006956704039
GSM1936866	0	0.243735232048878	0.040399753635393	0	0	0	0.286486784319917	0	0.0166496035050373	0.147727070965922	0	0.0713241553842299	0	0.0294609062209025	0	0.138526934191025	0	0	0.00432376237913954	0	0.016190392598976	0.0051754047505804	0	9999	-0.00879600012609421	1.13494888864221
GSM1936867	0	0.0306725129208541	0.0136098972836585	0	0	0	0.45957931625492	0	0.122914222995831	0.141076610451593	0	0.059517613700196	0	0.0890848127087667	0	0.0677683723865611	0	0.0057622230143053	0.00262689314620963	0	0	0.00738752513710439	0	9999	0.00648239443173175	1.10195810343532
GSM1936868	0.0473272835740648	0.193476485670949	0	0.0150448152316854	0	0.00282282860824062	0.256788421198194	0	0.000412610822412377	0.0442449916898043	0	0.0248159033386106	0	0.0938787458733152	0.0672423066916872	0.24359443820673	0	0	0.0103511690943058	0	0	0	0	9999	0.0202641790922168	1.09979443498329
